                time     magnetic_energy     mhd_enstrophy_j mhd_enstrophy_gradb     mhd_dissipation                Jmax
  0.380000000000E+00  0.204780012599E+01  0.745996003647E+01  0.746668582397E+01  0.298667432959E+00  0.211561595238E+01
  0.390000000000E+00  0.205403044455E+01  0.766637889461E+01  0.767342445934E+01  0.306936978374E+00  0.234974168377E+01
  0.400000000000E+00  0.206051161282E+01  0.788234268922E+01  0.788970437744E+01  0.315588175099E+00  0.260149611565E+01
  0.410000000000E+00  0.206723385896E+01  0.810771497829E+01  0.811538726041E+01  0.324615490419E+00  0.287033783721E+01
  0.420000000000E+00  0.207418669091E+01  0.834230090741E+01  0.835027623110E+01  0.334011049248E+00  0.315528583514E+01
  0.430000000000E+00  0.208135896648E+01  0.858584286223E+01  0.859411151038E+01  0.343764460421E+00  0.349161386624E+01
  0.440000000000E+00  0.208873896609E+01  0.883801633676E+01  0.884656629536E+01  0.353862651823E+00  0.385753203269E+01
  0.450000000000E+00  0.209631446750E+01  0.909842617927E+01  0.910724302076E+01  0.364289720845E+00  0.424542980993E+01
  0.460000000000E+00  0.210407282145E+01  0.936660339439E+01  0.937567018289E+01  0.375026807337E+00  0.465323368503E+01
  0.470000000000E+00  0.211200102768E+01  0.964200269181E+01  0.965129991652E+01  0.386051996692E+00  0.507818521855E+01
  0.480000000000E+00  0.212008581015E+01  0.992400097661E+01  0.993350652001E+01  0.397340260845E+00  0.553928011945E+01
  0.490000000000E+00  0.212831369100E+01  0.102118969742E+02  0.102215861212E+02  0.408863444912E+00  0.607049137787E+01
  0.500000000000E+00  0.213667106203E+01  0.105049121724E+02  0.105147576665E+02  0.420590306747E+00  0.662219884747E+01
  0.510000000000E+00  0.214514425326E+01  0.108021932455E+02  0.108121653967E+02  0.432486615988E+00  0.718951324417E+01
  0.520000000000E+00  0.215371959751E+01  0.111028161003E+02  0.111128829495E+02  0.444515318140E+00  0.776674001510E+01
  0.530000000000E+00  0.216238349037E+01  0.114057916505E+02  0.114159191923E+02  0.456636767907E+00  0.834749987677E+01
  0.540000000000E+00  0.217112244480E+01  0.117100733869E+02  0.117202258536E+02  0.468809034425E+00  0.901310892468E+01
  0.550000000000E+00  0.217992313963E+01  0.120145667651E+02  0.120247069704E+02  0.480988279181E+00  0.972862306758E+01
  0.560000000000E+00  0.218877246127E+01  0.123181403802E+02  0.123282301219E+02  0.493129205342E+00  0.104410871351E+02
  0.570000000000E+00  0.219765753814E+01  0.126196388421E+02  0.126296393589E+02  0.505185574943E+00  0.111410150321E+02
  0.580000000000E+00  0.220656576726E+01  0.129178972043E+02  0.129277696813E+02  0.517110787981E+00  0.118187811181E+02
  0.590000000000E+00  0.221548483253E+01  0.132117567376E+02  0.132214628522E+02  0.528858514991E+00  0.124649297262E+02
  0.600000000000E+00  0.222440271457E+01  0.135000817805E+02  0.135095842790E+02  0.540383372265E+00  0.130704694157E+02
  0.610000000000E+00  0.223330769185E+01  0.137817773388E+02  0.137910406319E+02  0.551641626615E+00  0.137166327486E+02
  0.620000000000E+00  0.224218833332E+01  0.140558070633E+02  0.140647978267E+02  0.562591914684E+00  0.144058554425E+02
  0.630000000000E+00  0.225103348267E+01  0.143212111927E+02  0.143298989601E+02  0.573195960340E+00  0.150642022951E+02
  0.640000000000E+00  0.225983223476E+01  0.145771240316E+02  0.145854817638E+02  0.583419272860E+00  0.156570504944E+02
  0.650000000000E+00  0.226857390488E+01  0.148227905259E+02  0.148307951431E+02  0.593231808459E+00  0.161766119486E+02
  0.660000000000E+00  0.227724799167E+01  0.150575815153E+02  0.150652143777E+02  0.602608578333E+00  0.166165489930E+02
  0.670000000000E+00  0.228584413468E+01  0.152810072723E+02  0.152882545981E+02  0.611530187704E+00  0.169719965798E+02
  0.680000000000E+00  0.229435206778E+01  0.154927289882E+02  0.154995821974E+02  0.619983292305E+00  0.173982996882E+02
  0.690000000000E+00  0.230276156940E+01  0.156925679241E+02  0.156990239005E+02  0.627960961136E+00  0.180862629948E+02
  0.700000000000E+00  0.231106241091E+01  0.158805120109E+02  0.158865732765E+02  0.635462936959E+00  0.192557210423E+02
  0.710000000000E+00  0.231924430403E+01  0.160567197466E+02  0.160623945435E+02  0.642495788496E+00  0.204295692998E+02
  0.720000000000E+00  0.232729684815E+01  0.162215212914E+02  0.162268235692E+02  0.649072950453E+00  0.215991823281E+02
