                time      kinetic_energy    dissipation_rate  dissipation_rate_2           enstrophy       enstrophy_max
  0.190000000000E+00  0.196223735388E+01  0.965532999537E-01  0.965533021859E-01  0.241383249884E+01  0.969103374242E+01
  0.200000000000E+00  0.195826822500E+01  0.981199272924E-01  0.981199301515E-01  0.245299818231E+01  0.994696445138E+01
  0.210000000000E+00  0.195401277088E+01  0.997283036177E-01  0.997283072988E-01  0.249320759044E+01  0.102043102164E+02
  0.220000000000E+00  0.194945936338E+01  0.101375411752E+00  0.101375416514E+00  0.253438529380E+01  0.104758461181E+02
  0.230000000000E+00  0.194459700403E+01  0.103058565072E+00  0.103058571260E+00  0.257646412679E+01  0.107516029392E+02
  0.240000000000E+00  0.193941539981E+01  0.104775424916E+00  0.104775432990E+00  0.261938562290E+01  0.110306864697E+02
  0.250000000000E+00  0.193390503117E+01  0.106524013286E+00  0.106524023860E+00  0.266310033215E+01  0.113222117668E+02
  0.260000000000E+00  0.192805721217E+01  0.108302720844E+00  0.108302734740E+00  0.270756802109E+01  0.116236127753E+02
  0.270000000000E+00  0.192186414222E+01  0.110110310236E+00  0.110110328555E+00  0.275275775589E+01  0.119274817572E+02
  0.280000000000E+00  0.191531894960E+01  0.111945914778E+00  0.111945938998E+00  0.279864786946E+01  0.122331065052E+02
  0.290000000000E+00  0.190841572639E+01  0.113809032557E+00  0.113809064660E+00  0.284522581393E+01  0.125396804279E+02
  0.300000000000E+00  0.190114955495E+01  0.115699515996E+00  0.115699558642E+00  0.289248789989E+01  0.128634497700E+02
  0.310000000000E+00  0.189351652606E+01  0.117617556961E+00  0.117617613718E+00  0.294043892402E+01  0.132055802618E+02
  0.320000000000E+00  0.188551374877E+01  0.119563667494E+00  0.119563743138E+00  0.298909168736E+01  0.135518890643E+02
  0.330000000000E+00  0.187713935236E+01  0.121538656261E+00  0.121538757170E+00  0.303846640654E+01  0.139017767373E+02
  0.340000000000E+00  0.186839248069E+01  0.123543600853E+00  0.123543735517E+00  0.308859002132E+01  0.142545831090E+02
  0.350000000000E+00  0.185927327948E+01  0.125579816089E+00  0.125579995765E+00  0.313949540224E+01  0.146418127637E+02
  0.360000000000E+00  0.184978287697E+01  0.127648818533E+00  0.127649058070E+00  0.319122046333E+01  0.150382579998E+02
  0.370000000000E+00  0.183992335871E+01  0.129752287448E+00  0.129752606322E+00  0.324380718619E+01  0.154424105740E+02
  0.380000000000E+00  0.182969773705E+01  0.131892022511E+00  0.131892446094E+00  0.329730056278E+01  0.158540764714E+02
  0.390000000000E+00  0.181910991618E+01  0.134069898649E+00  0.134070459740E+00  0.335174746621E+01  0.162730690200E+02
  0.400000000000E+00  0.180816465350E+01  0.136287818409E+00  0.136288559061E+00  0.340719546021E+01  0.167200501336E+02
  0.410000000000E+00  0.179686751802E+01  0.138547662402E+00  0.138548636034E+00  0.346369156003E+01  0.172116782734E+02
  0.420000000000E+00  0.178522484675E+01  0.140851238362E+00  0.140852512162E+00  0.352128095903E+01  0.177193013321E+02
  0.430000000000E+00  0.177324369987E+01  0.143200229485E+00  0.143201887072E+00  0.358000573708E+01  0.182436923447E+02
  0.440000000000E+00  0.176093181524E+01  0.145596142741E+00  0.145598287023E+00  0.363990356846E+01  0.187857210073E+02
  0.450000000000E+00  0.174829756324E+01  0.148040257922E+00  0.148043014066E+00  0.370100644793E+01  0.193463512899E+02
  0.460000000000E+00  0.173534990236E+01  0.150533578197E+00  0.150537096601E+00  0.376333945474E+01  0.199266305835E+02
  0.470000000000E+00  0.172209833626E+01  0.153076782989E+00  0.153081242103E+00  0.382691957447E+01  0.205949621873E+02
  0.480000000000E+00  0.170855287260E+01  0.155670183958E+00  0.155675792798E+00  0.389175459858E+01  0.213076524193E+02
  0.490000000000E+00  0.169472398427E+01  0.158313684845E+00  0.158320685026E+00  0.395784212060E+01  0.220566682857E+02
  0.500000000000E+00  0.168062257306E+01  0.161006745890E+00  0.161015413003E+00  0.402516864654E+01  0.228447945679E+02
  0.510000000000E+00  0.166625993612E+01  0.163748353437E+00  0.163758997616E+00  0.409370883492E+01  0.236749229686E+02
  0.520000000000E+00  0.165164773536E+01  0.166536995243E+00  0.166549960806E+00  0.416342487974E+01  0.245499561904E+02
  0.530000000000E+00  0.163679796961E+01  0.169370641909E+00  0.169386305974E+00  0.423426604594E+01  0.259689891332E+02
  0.540000000000E+00  0.162172294985E+01  0.172246734674E+00  0.172265504749E+00  0.430616836450E+01  0.273663416021E+02
  0.550000000000E+00  0.160643527708E+01  0.175162179722E+00  0.175184490295E+00  0.437905449003E+01  0.291452634856E+02
  0.560000000000E+00  0.159094782295E+01  0.178113348988E+00  0.178139657227E+00  0.445283372086E+01  0.308095915781E+02
  0.570000000000E+00  0.157527371283E+01  0.181096087315E+00  0.181126868055E+00  0.452740217807E+01  0.324276301063E+02
  0.580000000000E+00  0.155942631112E+01  0.184105725731E+00  0.184141465968E+00  0.460264313732E+01  0.338344145626E+02
  0.590000000000E+00  0.154341920865E+01  0.187137100499E+00  0.187178293687E+00  0.467842750522E+01  0.352114553227E+02
  0.600000000000E+00  0.152726621183E+01  0.190184577574E+00  0.190231718008E+00  0.475461443058E+01  0.369420555038E+02
  0.610000000000E+00  0.151098133315E+01  0.193242082058E+00  0.193295659687E+00  0.483105204100E+01  0.384058812398E+02
  0.620000000000E+00  0.149457878292E+01  0.196303132319E+00  0.196363628277E+00  0.490757829562E+01  0.397356657840E+02
  0.630000000000E+00  0.147807296167E+01  0.199360878461E+00  0.199428761600E+00  0.498402194707E+01  0.408048880605E+02
  0.640000000000E+00  0.146147845292E+01  0.202408144993E+00  0.202483869618E+00  0.506020360804E+01  0.416349252029E+02
  0.650000000000E+00  0.144481001593E+01  0.205437477635E+00  0.205521482578E+00  0.513593692156E+01  0.430503903403E+02
  0.660000000000E+00  0.142808257781E+01  0.208441194379E+00  0.208533903436E+00  0.521102983739E+01  0.447472793586E+02
  0.670000000000E+00  0.141131122489E+01  0.211411441042E+00  0.211513264698E+00  0.528528600096E+01  0.470946892971E+02
  0.680000000000E+00  0.139451119259E+01  0.214340251699E+00  0.214451589942E+00  0.535850626414E+01  0.495088946590E+02
  0.690000000000E+00  0.137769785387E+01  0.217219614468E+00  0.217340860402E+00  0.543049032980E+01  0.519399615299E+02
  0.700000000000E+00  0.136088670569E+01  0.220041543159E+00  0.220173087046E+00  0.550103854323E+01  0.543191819244E+02
  0.710000000000E+00  0.134409335385E+01  0.222798155334E+00  0.222940388618E+00  0.556995384341E+01  0.565577862149E+02
  0.720000000000E+00  0.132733349597E+01  0.225481757198E+00  0.225635076074E+00  0.563704388548E+01  0.585475402606E+02
  0.730000000000E+00  0.131062290337E+01  0.228084935664E+00  0.228249743745E+00  0.570212334218E+01  0.612052963636E+02
  0.740000000000E+00  0.129397740217E+01  0.230600657672E+00  0.230777367393E+00  0.576501638706E+01  0.640662122487E+02
  0.750000000000E+00  0.127741285474E+01  0.233022376613E+00  0.233211409060E+00  0.582555935485E+01  0.666536772355E+02
  0.760000000000E+00  0.126094514223E+01  0.235344145281E+00  0.235545928284E+00  0.588360356545E+01  0.691358636660E+02
  0.770000000000E+00  0.124459014962E+01  0.237560734384E+00  0.237775698797E+00  0.593901828662E+01  0.715444381304E+02
  0.780000000000E+00  0.122836375422E+01  0.239667755050E+00  0.239896329280E+00  0.599169379658E+01  0.734919462168E+02
  0.790000000000E+00  0.121228181868E+01  0.241661783136E+00  0.241904386105E+00  0.604154449189E+01  0.768175406474E+02
  0.800000000000E+00  0.119636018940E+01  0.243540482420E+00  0.243797515207E+00  0.608851196709E+01  0.798990424286E+02
  0.810000000000E+00  0.118061470042E+01  0.245302722896E+00  0.245574559437E+00  0.613256797220E+01  0.824722337543E+02
  0.820000000000E+00  0.116506118283E+01  0.246948689563E+00  0.247235666826E+00  0.617371713227E+01  0.843996384185E+02
  0.830000000000E+00  0.114971547855E+01  0.248479976211E+00  0.248782384355E+00  0.621199929225E+01  0.860597988434E+02
  0.840000000000E+00  0.113459345699E+01  0.249899658007E+00  0.250217731054E+00  0.624749133146E+01  0.890676330939E+02
  0.850000000000E+00  0.111971103216E+01  0.251212336110E+00  0.251546243719E+00  0.628030827896E+01  0.913635261565E+02
  0.860000000000E+00  0.110508417724E+01  0.252424147394E+00  0.252773988317E+00  0.631060355673E+01  0.928212753668E+02
  0.870000000000E+00  0.109072893310E+01  0.253542732641E+00  0.253908530390E+00  0.633856818441E+01  0.935632039564E+02
  0.880000000000E+00  0.107666140703E+01  0.254577157431E+00  0.254958858577E+00  0.636442880153E+01  0.959735011958E+02
  0.890000000000E+00  0.106289775800E+01  0.255537781459E+00  0.255935256830E+00  0.638844440056E+01  0.974882058955E+02
  0.900000000000E+00  0.104945416500E+01  0.256436074205E+00  0.256849122980E+00  0.641090171845E+01  0.980280216729E+02
  0.910000000000E+00  0.103634677601E+01  0.257284377581E+00  0.257712734046E+00  0.643210930299E+01  0.985365840455E+02
  0.920000000000E+00  0.102359163570E+01  0.258095619436E+00  0.258538961827E+00  0.645239035034E+01  0.998495280604E+02
  0.930000000000E+00  0.101120459169E+01  0.258882985167E+00  0.259340945811E+00  0.647207449541E+01  0.100177460199E+03
  0.940000000000E+00  0.999201180104E+00  0.259659558110E+00  0.260131733834E+00  0.649148882148E+01  0.995142142211E+02
  0.950000000000E+00  0.987596492865E+00  0.260437942359E+00  0.260923904074E+00  0.651094843081E+01  0.100148057924E+03
  0.960000000000E+00  0.976405030466E+00  0.261229884051E+00  0.261729184422E+00  0.653074697675E+01  0.100067009608E+03
  0.970000000000E+00  0.965640544962E+00  0.262045908542E+00  0.262558086820E+00  0.655114759306E+01  0.990588358705E+02
  0.980000000000E+00  0.955315878931E+00  0.262894991144E+00  0.263419574509E+00  0.657237466246E+01  0.985041222547E+02
  0.990000000000E+00  0.945442806603E+00  0.263784278098E+00  0.264320779213E+00  0.659460684090E+01  0.978773361342E+02
  0.100000000000E+01  0.936031883463E+00  0.264718872187E+00  0.265266783087E+00  0.661797169780E+01  0.100926784184E+03
  0.101000000000E+01  0.927092310412E+00  0.265701694007E+00  0.266260476856E+00  0.664254224798E+01  0.104535486799E+03
  0.102000000000E+01  0.918631817906E+00  0.266733425717E+00  0.267302501319E+00  0.666833554538E+01  0.108237512376E+03
  0.103000000000E+01  0.910656574577E+00  0.267812539324E+00  0.268391274545E+00  0.669531339007E+01  0.111196629671E+03
  0.104000000000E+01  0.903171123711E+00  0.268935406686E+00  0.269523102114E+00  0.672338507846E+01  0.113327512810E+03
  0.105000000000E+01  0.896178349650E+00  0.270096483867E+00  0.270692363025E+00  0.675241201207E+01  0.116456494845E+03
  0.106000000000E+01  0.889679474888E+00  0.271288558487E+00  0.271891759827E+00  0.678221388140E+01  0.118806745207E+03
  0.107000000000E+01  0.883674087341E+00  0.272503045748E+00  0.273112618395E+00  0.681257606645E+01  0.120236871049E+03
  0.108000000000E+01  0.878160196103E+00  0.273730316869E+00  0.274345220793E+00  0.684325784770E+01  0.121677721248E+03
  0.109000000000E+01  0.873134313020E+00  0.274960043000E+00  0.275579153911E+00  0.687400100386E+01  0.127417087485E+03
  0.110000000000E+01  0.868591556611E+00  0.276181538098E+00  0.276803657004E+00  0.690453838387E+01  0.132815621945E+03
  0.111000000000E+01  0.864525774305E+00  0.277384085745E+00  0.278007952748E+00  0.693460207731E+01  0.137813438287E+03
  0.112000000000E+01  0.860929678632E+00  0.278557237156E+00  0.279181548783E+00  0.696393086450E+01  0.142357663895E+03
  0.113000000000E+01  0.857794992878E+00  0.279691070467E+00  0.280314499609E+00  0.699227669894E+01  0.146403560590E+03
  0.114000000000E+01  0.855112601770E+00  0.280776404576E+00  0.281397621961E+00  0.701941005302E+01  0.149915229746E+03
  0.115000000000E+01  0.852872703011E+00  0.281804963933E+00  0.282422660052E+00  0.704512403807E+01  0.152865895345E+03
  0.116000000000E+01  0.851064955830E+00  0.282769493755E+00  0.283382400133E+00  0.706923728452E+01  0.155237784737E+03
  0.117000000000E+01  0.849678623167E+00  0.283663827708E+00  0.284270736555E+00  0.709159563403E+01  0.157021649292E+03
  0.118000000000E+01  0.848702704671E+00  0.284482912288E+00  0.285082693686E+00  0.711207274905E+01  0.158215984813E+03
  0.119000000000E+01  0.848126058184E+00  0.285222793689E+00  0.285814409670E+00  0.713056978446E+01  0.158826024094E+03
